service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1,20260210,20260802,1,1,1,1,1,1,1
2,20260209,20260802,1,1,1,1,1,1,1
3,20260209,20260531,1,1,1,1,1,1,1
4,20260210,20260802,1,1,1,1,1,1,1
5,20260210,20260319,0,1,1,1,0,0,0
6,20260209,20260531,1,1,1,1,1,1,1
7,20260209,20260802,1,1,1,1,1,1,1
8,20260220,20260531,1,1,1,1,1,1,1
9,20260210,20260319,0,1,1,1,0,0,0
10,20260211,20260802,1,1,1,1,1,1,1
11,20260220,20260802,1,1,1,1,1,1,1
12,20260207,20260802,1,1,1,1,1,1,1
13,20260313,20260802,0,0,0,0,1,1,1
14,20260313,20260802,0,0,0,0,1,1,1
15,20260210,20260802,1,1,1,1,1,1,1
16,20260228,20260802,1,1,1,1,1,1,1
17,20260209,20260227,1,1,1,1,1,1,1
18,20260228,20260802,1,1,1,1,1,1,1
19,20260210,20260227,1,1,1,1,1,1,1
20,20260212,20260802,1,1,1,1,1,1,1
21,20260210,20260211,0,1,1,0,0,0,0
22,20260212,20260802,1,1,1,1,1,1,1
