route_id,agency_id,route_short_name,route_long_name,route_type
1,3780,TGV,MADRID-PUERTA DE ATOCHA -- SEVILLA-SANTA JUSTA,101
2,3780,TGV,BARCELONA-SANTS -- SEVILLA-SANTA JUSTA,101
3,3780,TGV,BARCELONA-SANTS -- MADRID-PUERTA DE ATOCHA,101
4,3780,TGV,MADRID-CHAMARTIN -- VALENCIA JOAQUIN SOROLLA,101
5,3780,TGV,MALAGA MARIA ZAMBRANO -- MADRID-PUERTA DE ATOCHA,101
6,3780,TGV,MADRID-CHAMARTIN -- MURCIA DEL CARMEN,101
7,3780,TGV,ALICANTE-TERMINO -- MADRID-CHAMARTIN,101
8,3780,TGV,VALENCIA JOAQUIN SOROLLA -- VALLADOLID,101
9,3780,TGV,MURCIA DEL CARMEN -- VALLADOLID,101
10,3780,TGV,VALLADOLID -- ALICANTE-TERMINO,101
11,3780,TGV,VALLADOLID -- MADRID-CHAMARTIN,101
