trip_id,stop_sequence,stop_id,arrival_time,departure_time,drop_off_type,pickup_type
1,1,007151003,07:35:00,07:35:00,1,0
1,2,007150500,08:17:00,08:20:00,0,0
1,3,007160000,10:14:00,10:14:00,0,1
2,1,007151003,10:37:00,10:37:00,1,0
2,2,007150500,11:19:00,11:22:00,0,0
2,3,007160000,13:16:00,13:16:00,0,1
3,1,007151003,15:07:00,15:07:00,1,0
3,2,007150500,15:48:00,15:51:00,0,0
3,3,007160000,17:54:00,17:54:00,0,1
4,1,007151003,17:35:00,17:35:00,1,0
4,2,007150500,18:17:00,18:20:00,0,0
4,3,007160000,20:14:00,20:14:00,0,1
5,1,007160000,11:10:00,11:10:00,1,0
5,2,007150500,12:55:00,12:58:00,0,0
5,3,007151003,13:51:00,13:51:00,0,1
6,1,007160000,06:55:00,06:55:00,1,0
6,2,007150500,08:39:00,08:42:00,0,0
6,3,007151003,09:35:00,09:35:00,0,1
7,1,007160000,12:30:00,12:30:00,1,0
7,2,007150500,14:14:00,14:17:00,0,0
7,3,007151003,15:10:00,15:10:00,0,1
8,1,007160000,14:05:00,14:05:00,1,0
8,2,007150500,15:49:00,15:52:00,0,0
8,3,007151003,16:45:00,16:45:00,0,1
9,1,007160000,21:00:00,21:00:00,1,0
9,2,007150500,22:44:00,22:47:00,0,0
9,3,007151003,23:40:00,23:40:00,0,1
10,1,007151003,17:02:00,17:02:00,1,0
10,2,007150500,17:44:00,17:47:00,0,0
10,3,007160000,19:42:00,20:10:00,0,0
10,4,007104040,21:47:00,21:50:00,0,0
10,5,007171801,23:28:00,23:28:00,0,1
11,1,007171801,07:35:00,07:35:00,1,0
11,2,007104040,09:07:00,09:10:00,0,0
11,3,007160000,11:05:00,11:05:00,0,0
11,4,007150500,12:55:00,12:58:00,0,0
11,5,007151003,13:51:00,13:51:00,0,1
12,1,007160000,20:10:00,20:10:00,1,0
12,2,007104040,21:47:00,21:50:00,0,0
12,3,007171801,23:28:00,23:28:00,0,1
13,1,007160000,06:22:00,06:22:00,1,0
13,2,007104040,08:01:00,08:04:00,0,0
13,3,007171801,09:45:00,09:45:00,0,1
14,1,007160000,09:31:00,09:31:00,1,0
14,2,007104040,11:10:00,11:13:00,0,0
14,3,007104104,12:16:00,12:19:00,0,0
14,4,007171801,12:59:00,12:59:00,0,1
15,1,007160000,13:42:00,13:42:00,1,0
15,2,007171801,16:44:00,16:44:00,0,1
16,1,007160000,16:22:00,16:22:00,1,0
16,2,007171801,19:24:00,19:24:00,0,1
17,1,007160000,21:02:00,21:02:00,1,0
17,2,007104040,22:21:00,22:24:00,0,0
17,3,007171801,23:54:00,23:54:00,0,1
18,1,007171801,07:35:00,07:35:00,1,0
18,2,007104040,09:07:00,09:10:00,0,0
18,3,007160000,11:05:00,11:05:00,0,1
19,1,007171801,06:25:00,06:25:00,1,0
19,2,007104040,07:48:00,07:51:00,0,0
19,3,007160000,09:17:00,09:17:00,0,1
20,1,007171801,10:40:00,10:40:00,1,0
20,2,007104040,12:06:00,12:09:00,0,0
20,3,007160000,13:57:00,13:57:00,0,1
21,1,007171801,13:50:00,13:50:00,1,0
21,2,007160000,16:52:00,16:52:00,0,1
22,1,007171801,17:40:00,17:40:00,1,0
22,2,007160000,20:42:00,20:42:00,0,1
23,1,007171801,20:20:00,20:20:00,1,0
23,2,007104104,20:51:00,20:54:00,0,0
23,3,007104040,21:56:00,21:59:00,0,0
23,4,007160000,23:48:00,23:48:00,0,1
24,1,007103216,10:27:00,10:27:00,1,0
24,2,007117000,12:23:00,12:23:00,0,1
25,1,007103216,15:27:00,15:27:00,1,0
25,2,007117000,17:23:00,17:23:00,0,1
26,1,007103216,15:57:00,15:57:00,1,0
26,2,007117000,17:53:00,17:53:00,0,1
27,1,007103216,20:57:00,20:57:00,1,0
27,2,007117000,22:53:00,22:53:00,0,1
28,1,007117000,07:15:00,07:15:00,1,0
28,2,007103216,09:09:00,09:09:00,0,1
29,1,007117000,13:15:00,13:15:00,1,0
29,2,007103216,15:09:00,15:09:00,0,1
30,1,007117000,18:15:00,18:15:00,1,0
30,2,007103216,20:09:00,20:09:00,0,1
31,1,007117000,21:15:00,21:15:00,1,0
31,2,007103208,22:18:00,22:21:00,0,0
31,3,007103216,23:15:00,23:15:00,0,1
32,1,007154413,06:29:00,06:29:00,1,0
32,2,007150500,07:16:00,07:19:00,0,0
32,3,007160000,09:15:00,09:15:00,0,1
33,1,007154413,13:46:00,13:46:00,1,0
33,2,007150500,14:33:00,14:36:00,0,0
33,3,007160000,16:32:00,16:32:00,0,1
34,1,007154413,13:52:00,13:52:00,1,0
34,2,007150500,14:39:00,14:42:00,0,0
34,3,007160000,16:38:00,16:38:00,0,1
35,1,007154413,21:10:00,21:10:00,1,0
35,2,007150500,21:57:00,22:00:00,0,0
35,3,007160000,23:56:00,23:56:00,0,1
36,1,007154413,21:20:00,21:20:00,1,0
36,2,007150500,22:08:00,22:11:00,0,0
36,3,007160000,24:06:00,24:06:00,0,1
37,1,007160000,09:55:00,09:55:00,1,0
37,2,007150500,11:40:00,11:43:00,0,0
37,3,007154413,12:42:00,12:42:00,0,1
38,1,007160000,09:55:00,09:55:00,1,0
38,2,007150500,11:40:00,11:43:00,0,0
38,3,007154413,12:48:00,12:48:00,0,1
39,1,007160000,17:35:00,17:35:00,1,0
39,2,007150500,19:20:00,19:23:00,0,0
39,3,007154413,20:22:00,20:22:00,0,1
40,1,007160000,20:30:00,20:30:00,1,0
40,2,007150500,22:15:00,22:18:00,0,0
40,3,007154413,23:17:00,23:17:00,0,1
41,1,007161200,12:39:00,12:39:00,1,0
41,2,007103410,12:59:00,13:02:00,0,0
41,3,007160600,13:47:00,13:50:00,0,0
41,4,007117000,15:23:00,15:23:00,0,1
42,1,007161200,19:53:00,19:53:00,1,0
42,2,007103410,20:13:00,20:16:00,0,0
42,3,007160911,20:37:00,20:58:00,0,0
42,4,007160600,21:46:00,21:49:00,0,0
