trip_id,route_id,service_id,trip_headsign,trip_short_name
1,1,1,MADRID-PUERTA DE ATOCHA,TGV 6477
2,1,2,MADRID-PUERTA DE ATOCHA,TGV 6507
3,1,3,MADRID-PUERTA DE ATOCHA,TGV 6557
4,1,4,MADRID-PUERTA DE ATOCHA,TGV 6577
5,1,5,SEVILLA-SANTA JUSTA,TGV 11740
6,1,2,SEVILLA-SANTA JUSTA,TGV 6476
7,1,6,SEVILLA-SANTA JUSTA,TGV 6516
8,1,7,SEVILLA-SANTA JUSTA,TGV 6546
9,1,2,SEVILLA-SANTA JUSTA,TGV 6616
10,2,8,BARCELONA-SANTS,TGV 6415
11,2,8,SEVILLA-SANTA JUSTA,TGV 6410
12,3,9,BARCELONA-SANTS,TGV 6415
13,3,10,BARCELONA-SANTS,TGV 6471
14,3,2,BARCELONA-SANTS,TGV 6501
15,3,1,BARCELONA-SANTS,TGV 6541
16,3,10,BARCELONA-SANTS,TGV 6571
17,3,11,BARCELONA-SANTS,TGV 6611
18,3,9,MADRID-PUERTA DE ATOCHA,TGV 6410
19,3,11,MADRID-PUERTA DE ATOCHA,TGV 6470
20,3,10,MADRID-PUERTA DE ATOCHA,TGV 6500
21,3,2,MADRID-PUERTA DE ATOCHA,TGV 6540
22,3,1,MADRID-PUERTA DE ATOCHA,TGV 6570
23,3,10,MADRID-PUERTA DE ATOCHA,TGV 6610
24,4,1,MADRID-CHAMARTIN,TGV 6503
25,4,12,MADRID-CHAMARTIN,TGV 6553
26,4,13,MADRID-CHAMARTIN,TGV 6563
27,4,1,MADRID-CHAMARTIN,TGV 6603
28,4,1,VALENCIA JOAQUIN SOROLLA,TGV 6472
29,4,14,VALENCIA JOAQUIN SOROLLA,TGV 6532
30,4,1,VALENCIA JOAQUIN SOROLLA,TGV 6582
31,4,12,VALENCIA JOAQUIN SOROLLA,TGV 6612
32,5,15,MADRID-PUERTA DE ATOCHA,TGV 6479
33,5,16,MADRID-PUERTA DE ATOCHA,TGV 6549
34,5,17,MADRID-PUERTA DE ATOCHA,TGV 6549
35,5,18,MADRID-PUERTA DE ATOCHA,TGV 6619
36,5,19,MADRID-PUERTA DE ATOCHA,TGV 6619
37,5,16,MALAGA MARIA ZAMBRANO,TGV 6508
38,5,17,MALAGA MARIA ZAMBRANO,TGV 6508
39,5,2,MALAGA MARIA ZAMBRANO,TGV 6578
40,5,20,MALAGA MARIA ZAMBRANO,TGV 6618
41,6,12,MADRID-CHAMARTIN,TGV 6535
42,6,1,MADRID-CHAMARTIN,TGV 6615
43,6,21,MADRID-CHAMARTIN,TGV 6775
44,6,12,MURCIA DEL CARMEN,TGV 6484
45,6,1,MURCIA DEL CARMEN,TGV 6564
46,6,12,MURCIA DEL CARMEN,TGV 6594
47,7,1,MADRID-CHAMARTIN,TGV 6585
48,8,12,VALENCIA JOAQUIN SOROLLA,TGV 6822
49,8,12,VALLADOLID,TGV 6763
50,9,22,VALLADOLID,TGV 6775
51,10,22,ALICANTE-TERMINO,TGV 6944
52,11,21,MADRID-CHAMARTIN,TGV 6944
