trip_id,arrival_time,departure_time,stop_id,stop_sequence
63307,09:22:00,09:25:00,10015,10
63307,09:11:00,09:11:00,10014,0
63307,12:36:00,12:36:00,10007,88
63307,10:39:00,10:42:00,10010,42
63307,09:44:30,09:47:30,10016,15
63308,12:08:30,12:17:30,10010,43
63308,10:11:00,10:11:00,10007,0
63308,13:48:00,13:48:00,10014,86
63308,13:32:30,13:35:30,10015,76
63308,13:09:30,13:12:30,10016,70
63311,20:32:00,20:32:00,10007,54
63311,18:38:00,18:38:00,10006,0
63312,20:53:00,20:57:00,10006,51
63312,19:00:00,19:00:00,10007,0
63312,21:05:00,21:05:00,10009,58
63315,10:39:00,10:42:00,10010,42
63315,09:22:00,09:25:00,10015,10
63315,09:11:00,09:11:00,10014,0
63315,12:36:00,12:36:00,10007,88
63315,09:44:30,09:47:30,10016,15
63316,05:16:00,05:22:00,10006,8
63316,07:20:00,07:20:00,10007,62
63316,05:08:00,05:08:00,10009,0
63319,08:35:00,08:35:00,10014,86
63319,08:18:30,08:21:30,10015,76
63319,07:56:00,07:59:00,10016,70
63319,07:03:00,07:06:00,10010,43
63319,05:12:00,05:12:00,10007,0
63321,08:26:00,08:26:00,10006,51
63321,06:30:00,06:30:00,10007,0
63324,18:30:00,18:33:00,10004,107
63324,17:42:00,17:46:00,10005,90
63324,17:28:00,17:32:00,10008,85
63324,16:18:00,16:23:00,10006,51
63324,14:25:00,14:25:00,10007,0
63324,21:11:00,21:11:00,10000,153
63324,20:20:00,20:22:00,10001,139
63324,19:32:00,19:34:00,10049,120
63325,08:26:00,08:26:00,10006,51
63325,06:30:00,06:30:00,10007,0
63326,09:40:00,09:47:00,10006,51
63326,07:46:00,07:46:00,10007,0
63326,09:55:00,09:55:00,10009,58
63327,09:40:00,09:47:00,10006,51
63327,07:46:00,07:46:00,10007,0
63327,09:55:00,09:55:00,10009,58
63328,20:32:00,20:32:00,10007,54
63328,18:38:00,18:38:00,10006,0
63329,20:20:00,20:22:00,10001,139
63329,19:32:00,19:34:00,10049,120
63329,18:30:00,18:33:00,10004,107
63329,17:42:00,17:46:00,10005,90
63329,17:28:00,17:32:00,10008,85
63329,16:18:00,16:23:00,10006,51
63329,14:25:00,14:25:00,10007,0
63329,21:11:00,21:11:00,10000,153
63330,10:54:00,10:56:00,10049,121
63330,11:53:00,11:55:00,10001,140
63330,12:54:00,12:54:00,10000,154
63330,08:15:30,08:22:00,10056,79
63330,08:27:30,08:30:30,10011,80
63330,08:49:30,08:53:30,10008,85
63330,09:04:00,09:08:00,10005,90
63330,07:26:00,07:32:00,10006,51
63330,05:28:00,05:28:00,10007,0
63330,09:48:30,09:52:30,10004,108
63331,21:36:00,21:36:00,10007,155
63331,19:32:00,19:38:00,10006,101
63331,18:15:00,18:22:00,10005,63
63331,17:35:00,17:38:00,10004,47
63331,16:26:00,16:28:00,10049,33
63331,15:38:00,15:40:00,10001,14
63331,14:48:00,14:48:00,10000,0
63332,20:53:00,20:57:00,10006,51
63332,19:00:00,19:00:00,10007,0
63332,21:05:00,21:05:00,10009,58
63333,09:46:00,09:46:00,10007,114
63333,07:40:00,07:50:00,10006,60
63333,06:29:00,06:32:00,10016,15
63333,06:06:00,06:09:00,10015,10
63333,05:55:00,05:55:00,10014,0
63335,10:12:00,10:27:00,10006,106
63335,12:23:00,12:23:00,10007,160
63335,08:12:30,08:15:00,10004,49
63335,08:52:00,08:55:30,10005,65
63335,07:08:00,07:10:00,10049,33
63335,05:20:00,05:20:00,10000,0
63335,06:09:00,06:11:00,10001,14
63338,20:32:00,20:32:00,10007,54
63338,18:38:00,18:38:00,10006,0
63339,21:36:00,21:36:00,10007,155
63339,19:32:00,19:38:00,10006,101
63339,18:15:00,18:22:00,10005,63
63339,17:35:00,17:38:00,10004,47
63339,16:26:00,16:28:00,10049,33
63339,15:38:00,15:40:00,10001,14
63339,14:48:00,14:48:00,10000,0
63340,11:52:00,12:00:00,10006,8
63340,11:44:00,11:44:00,10009,0
