route_id,service_id,trip_id
6104,48097,63307
6105,48098,63308
6658,48101,63311
6655,48102,63312
6104,48105,63315
6648,48106,63316
6147,48109,63319
6659,48111,63321
9287,48114,63324
6659,48115,63325
6645,48116,63326
6645,48117,63327
6658,48118,63328
9287,48119,63329
9283,48120,63330
9296,48121,63331
6655,48122,63332
6140,48123,63333
9292,48125,63335
6658,48128,63338
9296,48129,63339
6654,48130,63340
6659,48134,63344
6656,48135,63345
9292,48136,63346
6645,48138,63348
6651,48139,63349
6651,48140,63350
6656,48142,63352
9292,48146,63356
6119,48147,63357
6148,48151,63361
6660,48153,63363
6119,48154,63364
6656,48155,63365
6653,48156,63366
9281,48157,63367
6108,48159,63369
9292,48160,63370
6140,48161,63371
6652,48164,63374
6658,48165,63375
9287,48166,63376
6651,48167,63377
6645,48169,63379
6105,48171,63381
9296,48173,63383
6119,48174,63384
6650,48176,63386
6648,48177,63387
6658,48179,63389
9292,48180,63390
6656,48182,63392
6650,48184,63394
9292,48186,63396
6119,48187,63397
6140,48188,63398
6647,48189,63399
6659,48190,63400
6147,48194,63404
6660,48195,63405
9287,48196,63406
6657,48197,63407
6104,48198,63408
9296,48200,63410
6647,48201,63411
9283,48202,63412
6113,48203,63413
6108,48204,63414
6660,48205,63415
6650,48206,63416
6660,48209,63419
6657,48210,63420
6105,48211,63421
6655,48212,63422
6659,48213,63423
6662,48214,63424
6653,48215,63425
6140,48216,63426
6140,48218,63428
6147,48219,63429
6148,48221,63431
6148,48223,63433
9287,48224,63434
6645,48225,63435
6104,48226,63436
6653,48227,63437
9292,48228,63438
9292,48229,63439
6119,48230,63440
6140,48232,63442
6649,48235,63445
9283,48237,63447
6651,48238,63448
6653,48239,63449
6647,48240,63450
6648,48241,63451
9296,48243,63453
6656,48244,63454
9287,48245,63455
6653,48246,63456
6105,48247,63457
6649,48248,63458
6645,48249,63459
9281,48250,63460
6656,48253,63463
6108,48254,63464
9296,48255,63465
6113,48260,63470
6148,48261,63471
6147,48262,63472
6650,48266,63476
6140,48269,63479
9283,48270,63480
6659,48273,63483
6647,48275,63485
6662,48276,63486
6147,48277,63487
6645,48280,63490
6148,48283,63493
9296,48284,63494
6148,48285,63495
6657,48286,63496
6647,48287,63497
9287,48288,63498
6148,48289,63499
6649,48290,63500
6650,48292,63502
9283,48293,63503
6108,48295,63505
6104,48298,63508
6653,48300,63510
6148,48301,63511
6105,48302,63512
6649,48303,63513
9296,48304,63514
9292,48305,63515
6656,48306,63516
6105,48309,63519
6119,48311,63521
6113,48312,63522
6648,48314,63524
6662,48315,63525
6651,48317,63527
6655,48318,63528
6108,48321,63531
6657,48322,63532
6655,48323,63533
6662,48324,63534
6148,48325,63535
6654,48327,63537
6108,48328,63538
6104,48329,63539
9296,48331,63541
6147,48332,63542
6105,48333,63543
6108,48335,63545
6651,48340,63550
6657,48341,63551
6650,48342,63552
6654,48343,63553
6655,48344,63554
6656,48345,63555
6653,48346,63556
6658,48347,63557
6113,48348,63558
6658,48349,63559
6659,48350,63560
6647,48351,63561
6662,48353,63563
9283,48355,63565
6660,48356,63566
6657,48357,63567
6140,48358,63568
6654,48359,63569
6652,48360,63570
6650,48363,63573
6657,48364,63574
6147,48365,63575
6660,48366,63576
6104,48367,63577
6648,48368,63578
6655,48369,63579
6113,48371,63581
6655,48372,63582
6104,48373,63583
6119,48374,63584
6662,48376,63586
9283,48377,63587
6654,48378,63588
6104,48379,63589
6654,48380,63590
6648,48382,63592
6650,48383,63593
6119,48385,63595
6657,48386,63596
6119,48388,63598
6650,48389,63599
6653,48390,63600
6649,48391,63601
6105,48394,63604
6113,48396,63606
6105,48397,63607
6649,48398,63608
6649,48399,63609
6148,48400,63610
6649,48401,63611
6657,48402,63612
9283,48405,63615
6647,48407,63617
6635,48408,63618
6648,48410,63620
6654,48411,63621
6654,48412,63622
6655,48415,63625
6653,48416,63626
6113,48417,63627
6147,48418,63628
6651,48421,63631
6659,48422,63632
